階層	プリセット/名/グループ名	leaf_type (葉の種類)	genus (属)	species (学名)	species:ja (日本語名)	species:en (英語名)	taxon (分類学的なレベルを表現する学名)	sex (雌雄)	leaf_cycle (葉の季節変化)
-	ガジュマル	broadleaved (広葉樹)	Ficus	Ficus microcarpa・Malayan Banyan・Banyan fig・Indian laurel	溶樹	Chinese Banyan			evergreen (常緑樹)
-	リュウキュウマツ	needleleaved (針葉樹)	Pinus	Pinus luchuensis	琉球松	Ryukyu Island pine			evergreen (常緑樹)
-	ホウオウボク		Delonix	Delonix regia	鳳凰木	royal poinciana			deciduous (落葉樹)
-	フクギ	broadleaved (広葉樹)	Garcinia	Garcinia subelliptica	福木	Common garcinia			evergreen (常緑樹)
-	アカギ	broadleaved (広葉樹)	Bischofia	Bischofia javanica	赤木	Bishop wood		yes	evergreen (常緑樹)
-	モクマオウ		Casuarina	Casuarina equisetifolia	木麻黄				evergreen (常緑樹)
-	トックリキワタ	broadleaved (広葉樹)	Ceiba	Ceiba speciosa	トックリキワタ	Floss silk tree			deciduous (落葉樹)
-	イヌマキ	needleleaved (針葉樹)	Podocarpus	Podocarpus macrophyllus	犬槇			yes	evergreen (常緑樹)
-	ナンヨウスギ		Araucaria	Araucaria cunninghamii	ナンヨウスギ	colonial pine			evergreen (常緑樹)
-	リュウキュウハゼ	broadleaved (広葉樹)	Toxicodendron	Toxicodendron succedaneum	ハゼノキ				deciduous (落葉樹)
-	アダン		Pandanus	Pandanus odoratissimus	阿檀				evergreen (常緑樹)
+	ヤシノキ（総称）								
 -	トックリヤシ		Hyophorbe	Hyophorbe lagenicaulis	トックリヤシ	bottle palm			evergreen (常緑樹)
 -	トックリヤシモドキ		Mascarena	Mascarena verschaffeltii	トックリヤシモドキ	spindle palm			evergreen (常緑樹)
 -	ヤエヤマヤシ		Satakentia	Satakentia liukiuensis	八重山椰子				evergreen (常緑樹)
+	バショウ（総称）		Musa		芭蕉				
 -	バショウ		Musa	Musa basjoo	芭蕉	Japanese fiber banana		no	evergreen (常緑樹)
 -	バナナ		Musa	Musa spp	バナナ	Banana		no	evergreen (常緑樹)
+	マングローブ（総称）				マングローブ	Mangrove			
 -	オヒルギ		Bruguiera	Bruguiera gymnorhiza	雄蛭木	Black mangrove			evergreen (常緑樹)
 -	メヒルギ		Kandelia	Kandelia obovata	雌蛭木				evergreen (常緑樹)
 -	ヤエヤマヒルギ		Rhizophora	Rhizophora mucronata	八重山蛭木				evergreen (常緑樹)
 -	ヒルギモドキ		Lumnitzera	Lumnitzera racemosa	蛭木擬				evergreen (常緑樹)
 -	ヒルギダマシ		Avicennia	Avicennia marina	蛭木騙し	grey mangrove・white mangrove			evergreen (常緑樹)
 -	マヤプシキ		Sonneratia	Sonneratia alba	マヤプシキ・浜柘榴				evergreen (常緑樹)